Size, Mode, Time, L2_DCM, MFLOPS, CPI
1000000, abc[ ? ][3], 134765.2, 33154.4, 443.484, 2.96
1000000, abc[3][ ? ], 139954.6, 11377.2, 441.758, 3.09
1000000, struct, 137169.8, 2774.8, 444.124, 2.96
