Algorithm, Time, L2_DCM, MFLOPS, CPI
Trivial, 627804.0, 23053915.6, 4077.232, 0.48
Blocking, 487324.6, 2826953.2, 5375.268, 0.33
Strassen, 533280.4, 15909049.0, 2864.332, 0.49
BLAS, 185065.6, 730013.4, 281.374, 0.35
