100000000; 1; 0.1050; 118568
100000000; 1; 0.1065; 120823
100000000; 1; 0.1052; 118430
100000000; 1; 0.1060; 118285
100000000; 1; 0.1052; 117349
100000000; 2; 0.0547; 109884
100000000; 2; 0.0541; 99766
100000000; 2; 0.0548; 103076
100000000; 2; 0.0558; 111775
100000000; 2; 0.0524; 112857
100000000; 4; 0.0380; 72719
100000000; 4; 0.0316; 72779
100000000; 4; 0.0326; 91386
100000000; 4; 0.0306; 71216
100000000; 4; 0.0305; 64872
100000000; 8; 0.0345; 74659
100000000; 8; 0.0366; 86241
100000000; 8; 0.0322; 61467
100000000; 8; 0.0338; 67846
100000000; 8; 0.0308; 82889
100000000; 12; 0.0319; 98773
100000000; 12; 0.0414; 80004
100000000; 12; 0.0352; 105541
100000000; 12; 0.0354; 76160
100000000; 12; 0.0402; 42314
