1024; 128; 1; 0.6921; 82246836
1024; 128; 1; 0.6079; 82089096
1024; 128; 1; 0.6016; 81093761
1024; 128; 1; 0.6063; 81836512
1024; 128; 1; 0.6073; 82736515
1024; 128; 2; 0.3140; 41508985
1024; 128; 2; 0.3139; 41317296
1024; 128; 2; 0.3653; 40917915
1024; 128; 2; 0.3083; 40765129
1024; 128; 2; 0.3091; 41330494
1024; 128; 4; 0.2725; 20461499
1024; 128; 4; 0.1582; 20594862
1024; 128; 4; 0.2701; 20620262
1024; 128; 4; 0.1640; 20620000
1024; 128; 4; 0.1555; 20452969
1024; 128; 8; 0.1448; 5473283
1024; 128; 8; 0.1344; 5481778
1024; 128; 8; 0.1399; 5491113
1024; 128; 8; 0.1432; 10061125
1024; 128; 8; 0.1436; 10299423
1024; 128; 12; 0.1399; 10259569
1024; 128; 12; 0.1828; 10133665
1024; 128; 12; 0.1405; 10138787
1024; 128; 12; 0.1371; 9653951
1024; 128; 12; 0.1410; 10223050
4096; 128; 1; 38.0714; 5192086520
4096; 128; 1; 37.8066; 5124576382
4096; 128; 1; 38.1294; 5221943520
4096; 128; 1; 38.2090; 5203703192
4096; 128; 1; 38.0675; 5225310698
4096; 128; 2; 19.2324; 2605823903
4096; 128; 2; 19.1627; 2590656593
4096; 128; 2; 18.9760; 2613976560
4096; 128; 2; 19.1608; 2586896609
4096; 128; 2; 19.2904; 2601761220
4096; 128; 4; 10.1273; 1284448741
4096; 128; 4; 9.8509; 1313023801
4096; 128; 4; 9.7248; 1289841266
4096; 128; 4; 9.7576; 1308251620
4096; 128; 4; 9.8675; 1304783736
4096; 128; 8; 7.5698; 664668257
4096; 128; 8; 7.7178; 655256862
4096; 128; 8; 7.6039; 640059166
4096; 128; 8; 7.3673; 662256915
4096; 128; 8; 8.1142; 655861401
4096; 128; 12; 6.2127; 489623701
4096; 128; 12; 6.2346; 485442044
4096; 128; 12; 6.4873; 488844280
4096; 128; 12; 6.2184; 482960912
4096; 128; 12; 6.4463; 482817880
