40000; 1; 2.0071; 1574219
40000; 1; 1.9939; 324575
40000; 1; 2.0006; 1857569
40000; 1; 1.8686; 968790
40000; 1; 1.9938; 867149
40000; 2; 0.9586; 210552
40000; 2; 0.9664; 281854
40000; 2; 1.0232; 270716
40000; 2; 1.0256; 294699
40000; 2; 1.0152; 249555
40000; 4; 0.7080; 337036
40000; 4; 0.6511; 278713
40000; 4; 0.6365; 279916
40000; 4; 0.6466; 283822
40000; 4; 0.6773; 257591
40000; 8; 0.5310; 229988
40000; 8; 0.5264; 160483
40000; 8; 0.5561; 206592
40000; 8; 0.5242; 204535
40000; 8; 0.4956; 221123
40000; 12; 1.0165; 199728
40000; 12; 0.5967; 166245
40000; 12; 0.8868; 191899
40000; 12; 0.7719; 178061
40000; 12; 0.5619; 188388
