Exemplo, Time, L2_DCM, MFLOPS, CPE
Exercicio B - Padrão, 117047, 5226514, 920.7660, 6.11
Exercicio B - Modificado, 103715, 6337250, 1299.5437, 4.68
Exercicio B - AVX, 109436, 6581540, 2535.7809, 4.95
