Exemplo, Time, L2_DCM, MFLOPS, CPE
Exercicio B - Padrão, 130128, 8327909, 849.7111, 8.75
Exercicio B - Modificado, 124571, 10141674, 1168.2948, 8.36
Exercicio B - AVX, 122822, 10077226, 2184.5370, 8.26
