col0;col1;col2;col3;col4
1024.0;128.0;1.0;0.62304;82000544.0
1024.0;128.0;2.0;0.32212;41167963.8
1024.0;128.0;4.0;0.20406;20549918.4
1024.0;128.0;8.0;0.14118;7361344.4
1024.0;128.0;12.0;0.14826;10081804.4
4096.0;128.0;1.0;38.05678;5193524062.4
4096.0;128.0;2.0;19.16446;2599822977.0
4096.0;128.0;4.0;9.86562;1300069832.8
4096.0;128.0;8.0;7.6746;655620520.2
4096.0;128.0;12.0;6.31986;485937763.4
