col0;col1;col2;col3
100000000.0;1.0;0.10558;118691.0
100000000.0;2.0;0.05436;107471.6
100000000.0;4.0;0.03266;74594.4
100000000.0;8.0;0.03358;74620.4
100000000.0;12.0;0.03682;80558.4
