==12856== NVPROF is profiling process 12856, command: bin/ex01
Size: 99999, numBlks: 391, numThds: 256, mult: 100096
Inicio: qtde=100000, dt=1e-06, dx=1e-05, dx²=1e-10, kappa=4.5e-05, const=0.45
Iteracoes previstas: 10000
	HostToDevice : 0.0001211
	Inicializacao: 0.000440784
	Tempo kernels: 0.114958 
	Tempo medio  : 1.14947e-05 
	DeviceToHost : 0.0118083 
	Tempo Total  : 0.127246 
Maior valor = 99.8486
==12856== Profiling application: bin/ex01
==12856== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput           Device   Context    Stream  Name
407.79ms  10.016us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [375]
407.81ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [380]
407.82ms  9.7920us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [385]
407.83ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [390]
407.84ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [395]
407.86ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [400]
407.87ms  9.8880us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [405]
407.88ms  10.080us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [410]
407.89ms  9.8240us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [415]
407.91ms  9.9200us            (391 1 1)       (256 1 1)        12        0B        0B         -           -   Tesla K40c (0)         1         7  Atualiza(double*, double*, int) [420]
