128, 0, 2611, 13700, 2221.71, 0.45
128, 0, 2218, 23782, 2620.51, 0.45
128, 0, 2225, 25518, 2611.56, 0.45
128, 0, 2213, 24256, 2625.81, 0.45
128, 0, 2375, 29322, 2450.33, 0.45
128, 1, 1177, 70227, 4850.42, 0.43
128, 1, 1139, 62555, 4989.66, 0.43
128, 1, 1135, 44853, 4871.54, 0.43
128, 1, 1147, 49619, 4860.77, 0.42
128, 1, 1142, 77243, 5050.38, 0.43
128, 2, 2311, 69269, 2380.03, 0.46
128, 2, 2271, 58000, 2418.92, 0.46
128, 2, 2275, 69801, 2417.72, 0.46
128, 2, 2272, 75934, 2421.80, 0.46
128, 2, 2248, 92533, 2444.54, 0.46
128, 3, 2763, 60143, 2096.69, 0.47
128, 3, 3013, 81850, 1928.44, 0.47
128, 3, 2825, 54815, 2049.33, 0.46
128, 3, 2932, 69787, 1978.88, 0.47
128, 3, 2909, 75755, 1996.28, 0.47
128, 4, 1160, 48183, 4200.60, 0.43
128, 4, 1145, 44029, 4224.54, 0.43
128, 4, 1136, 45975, 4269.11, 0.43
128, 4, 1130, 45247, 4259.25, 0.43
128, 4, 1131, 35306, 4185.05, 0.43
128, 5, 2889, 62242, 1957.94, 0.47
128, 5, 3050, 61703, 1854.98, 0.47
128, 5, 2845, 47593, 1984.94, 0.47
128, 5, 2802, 36245, 2013.71, 0.47
128, 5, 2899, 42496, 1947.70, 0.47
512, 0, 1006545, 17019929, 1963.87, 3.30
512, 0, 1002878, 17109641, 1972.50, 3.30
512, 0, 1002264, 17027929, 1973.34, 3.30
512, 0, 1020089, 17067755, 1915.31, 3.30
512, 0, 1034664, 17110454, 1860.58, 3.29
512, 1, 64216, 2501287, 5379.69, 0.41
512, 1, 73030, 2604206, 4736.23, 0.42
512, 1, 65169, 2367664, 5291.43, 0.41
512, 1, 64751, 2379264, 5321.15, 0.41
512, 1, 67463, 2528867, 5124.42, 0.42
512, 2, 1048255, 2658878, 1616.17, 3.22
512, 2, 1017497, 2562119, 1665.77, 3.22
512, 2, 1002063, 2506481, 1693.52, 3.22
512, 2, 1025256, 2642514, 1650.07, 3.22
512, 2, 1011045, 2634561, 1671.71, 3.22
512, 3, 1993061, 18671683, 2087.33, 4.99
512, 3, 1937481, 18923021, 2163.18, 4.99
512, 3, 1935595, 19101663, 2155.13, 4.99
512, 3, 1960671, 19298306, 2122.88, 4.99
512, 3, 1975865, 19233721, 2103.74, 4.99
512, 4, 73381, 7997748, 4900.93, 0.46
512, 4, 74924, 7901583, 4775.71, 0.46
512, 4, 76532, 7884803, 4664.06, 0.47
512, 4, 73948, 7997507, 4863.48, 0.46
512, 4, 77716, 7928665, 4647.01, 0.46
512, 5, 1928369, 18349039, 2149.01, 4.97
512, 5, 1940758, 17740348, 2123.74, 4.97
512, 5, 1977595, 18537037, 2094.65, 4.97
512, 5, 1929887, 18419768, 2152.48, 4.97
512, 5, 1974004, 18029339, 2102.19, 4.97
1024, 0, 9592745, 92783358, 1605.49, 3.80
1024, 0, 9512544, 85304734, 1626.01, 3.79
1024, 0, 9493000, 91355762, 1626.24, 3.80
1024, 0, 9572314, 88878134, 1610.72, 3.80
1024, 0, 9466719, 97496920, 1634.87, 3.80
1024, 1, 616874, 20456522, 4118.14, 0.47
1024, 1, 600979, 19629938, 4220.25, 0.47
1024, 1, 666544, 26179859, 3860.87, 0.50
1024, 1, 610313, 21116530, 4167.25, 0.47
1024, 1, 644310, 27886729, 4019.65, 0.49
1024, 2, 9595502, 75307130, 1359.53, 3.76
1024, 2, 9293045, 37589109, 1404.98, 3.72
1024, 2, 9324507, 36822942, 1401.62, 3.72
1024, 2, 9203757, 46825693, 1419.85, 3.73
1024, 2, 9201345, 40530769, 1419.62, 3.72
1024, 3, 18186595, 304937870, 2100.76, 5.85
1024, 3, 18135730, 296999055, 2107.36, 5.85
1024, 3, 18035216, 266402663, 2116.13, 5.83
1024, 3, 18076528, 302918812, 2112.34, 5.85
1024, 3, 18048880, 303968059, 2118.52, 5.85
1024, 4, 787696, 72474310, 3526.25, 0.63
1024, 4, 826360, 74860366, 3362.51, 0.65
1024, 4, 775991, 72283128, 3592.17, 0.62
1024, 4, 908460, 89162872, 3161.19, 0.72
1024, 4, 924519, 89912423, 3092.59, 0.73
1024, 5, 18149302, 413362180, 2013.26, 5.84
1024, 5, 18147679, 365241928, 2012.30, 5.83
1024, 5, 18063023, 366989866, 2019.24, 5.83
1024, 5, 18021750, 356730161, 2025.91, 5.83
1024, 5, 18058400, 387171244, 2021.23, 5.83
