tamanho,threads,tempo,cache miss,speedup,eficiencia
100000000,1,0.10558,118691,1.0000,1.0000
100000000,2,0.05436,107471.6,1.9422,0.9711
100000000,4,0.03266,74594.4,3.2327,0.8082
100000000,8,0.03358,74620.4,3.1441,0.3930
100000000,12,0.03682,80558.4,2.8675,0.2390
