128, 109051, 8840, 38.46, 0.48
128, 585, 5125, 7169.75, 0.42
128, 570, 5265, 7358.43, 0.42
128, 587, 5719, 7145.32, 0.42
128, 625, 5807, 6710.89, 0.42
512, 25247, 327896, 10632.37, 0.37
512, 24322, 330288, 11036.73, 0.36
512, 26392, 351660, 10171.09, 0.38
512, 25299, 344897, 10610.52, 0.38
512, 25065, 308351, 10709.57, 0.36
1024, 185228, 713354, 11593.73, 0.35
1024, 189871, 792836, 11310.22, 0.36
1024, 178283, 640172, 12045.36, 0.35
1024, 183370, 731231, 11711.20, 0.35
1024, 197718, 1040859, 10861.35, 0.37
