128, 608, 5730, 6261.35, 0.42
128, 579, 5697, 6574.26, 0.42
128, 595, 5776, 6397.81, 0.42
128, 575, 5252, 6619.28, 0.42
128, 578, 5705, 6586.62, 0.42
512, 23313, 324339, 11395.07, 0.36
512, 23577, 332442, 11267.62, 0.36
512, 23211, 324758, 11445.69, 0.36
512, 23209, 329057, 11446.54, 0.36
512, 23710, 333543, 11204.57, 0.36
1024, 183913, 921707, 11545.14, 0.36
1024, 184426, 863927, 11512.35, 0.36
1024, 181236, 834335, 11714.66, 0.36
1024, 179005, 890694, 11860.25, 0.36
1024, 177969, 640638, 11927.22, 0.35
