Algorithm, Time, L2_DCM, MFLOPS, CPI
Trivial, 639567.6, 27410800.2, 4053.790, 0.49
Blocking, 472215.2, 2770415.0, 5546.164, 0.33
Strassen, 505214.2, 16202391.8, 3014.232, 0.49
BLAS, 181309.8, 830260.2, 11711.924, 0.36
